"","Name","Cumulative_incidence"
"1","Global",11220.3074927048
"2","United States of America",64796.07
"3","India",7545.93
"4","Brazil",37456.22
"5","Russian Federation",23154.94
"6","The United Kingdom",43565.32
"7","France",41389.81
"8","Italy",37013.27
"9","Spain",43323.06
"10","Germany",22576.89
"11","Ivory Coast",34144.03
"12","Argentina",37393.01
"13","Mexico",11584.09
"14","Turkey",17705.23
"15","Poland",36367.56
"16","Iran (Islamic Republic of)",15174.06
"17","South Africa",20107.85
"18","Ukraine",25381.19
"19","Peru",31138.38
"20","Netherlands",50126.67
"21","Czechia",76824.86
"22","Swaziland",2955.28
"23","Romania",34504.09
"24","Republic of Congo",57008.15
"25","Canada",16828.24
"26","Chile",33133.2
"27","Iraq",14952.43
"28","Bangladesh",3161.65
"29","Pakistan",2252.27
"30","Sweden",48466
"31","Philippines",4415.47
"32","Switzerland",54953.76
"33","Israel",54671.61
"34","Portugal",45770.55
"35","Morocco",12197.62
"36","Austria",41710.79
"37","Saudi Arabia",10443.6
"38","Serbia",51139.73
"39","Hungary",35242.92
"40","Guinea Bissau",29908.75
"41","Japan",2159.72
"42","Panama",62365.13
"43","Nepal",9066.16
"44","Georgia",59683.14
"45","United Arab Emirates",22719.4
"46","Azerbaijan",22035.02
"47","Croatia",53430.63
"48","Ecuador",12421.21
"49","Lebanon",30787.59
"50","Belarus",22075.76
"51","Bulgaria",29936.48
"52","Kazakhstan",11015.78
"53","Slovakia",37591.48
"54","Dominican Republic",16458.29
"55","Denmark",30816.78
"56","Costa Rica",34629.55
"57","Bolivia (Plurinational State of)",14468.49
"58","occupied Palestinian territory, including east Jerusalem",32225.38
"59","Armenia",54600.31
"60","Lithuania",58105.51
"61","Tunisia",13106.69
"62","Kuwait",35937.35
"63","Republic of Moldova",36854.33
"64","Egypt",1444.38
"65","Qatar",50490.57
"66","Greece",13766.98
"67","Guatemala",7929.64
"68","Slovenia",66629.21
"69","Ireland",27519.22
"70","Malaysia",4050.79
"71","Oman",25470.83
"72","Myanmar",2379.77
"73","Ethiopia",1109.67
"74","Honduras",12676.63
"75","Venezuela (Bolivarian Republic of)",4055.5
"76","Bosnia and Herzegovina",34869.95
"77","Paraguay",15822.7
"78","Libya",15135.73
"79","Algeria",2318.23
"80","Kenya",1821.68
"81","Nigeria",472.87
"82","China",66.19
"83","Bahrain",55848.26
"84","North Macedonia",41084.2
"85","Kyrgyzstan",12589.75
"86","Puerto Rico",28686.2
"87","Uzbekistan",2316.46
"88","Republic of Korea",1326.31
"89","Albania",21675.61
"90","Singapore",10056.85
"91","Ghana",1784.86
"92","Norway",9922.45
"93","Afghanistan",1371.75
"94","Kosovo[1]",28435.04
"95","Montenegro",82172.89
"96","El Salvador",7439.64
"97","Latvia",25332.44
"98","Luxembourg",76264.66
"99","Sri Lanka",2209.15
"100","Finland",6870.59
"101","Uganda",815.37
"102","Estonia",24943.93
"103","Australia",1120.44
"104","Namibia",10726.49
"105","Cameroon",1011.38
"106","Cyprus",22092.85
"107","Zambia",1377.61
"108","Uruguay",6853.44
"109","Sudan",531.73
"110","Côte d’Ivoire",878.49
"111","Senegal",1234.6
"112","Mozambique",655.31
"113","Zimbabwe",1322.75
"114","Democratic Republic of the Congo",209.2
"115","Angola",549.68
"116","Madagascar",641.62
"117","French Polynesia",61375.97
"118","Botswana",6825.49
"119","Mauritania",3272.07
"120","Malta",32187.13
"121","Maldives",25973.83
"122","French Guiana",46772.15
"123","Guinea",1058.72
"124","Cuba",1220.4
"125","Tajikistan",1434.95
"126","Jamaica",4528.96
"127","Cabo Verde",22009.51
"128","Syrian Arab Republic",695.92
"129","Belize",28046.31
"130","Eswatini",9458.15
"131","Haiti",898.13
"132","Thailand",140.99
"133","Gabon",4355.42
"134","Réunion",10328.24
"135","Rwanda",699.34
"136","Guadeloupe",21748.26
"137","Andorra",109868.63
"138","Bahamas",20264.77
"139","Malawi",414.27
"140","Burkina Faso",376.3
"141","Mali",366.75
"142","Guam",42737.37
"143","Trinidad and Tobago",5151.88
"144","Congo",1297.55
"145","Suriname",11506.36
"146","Guyana",8224.5
"147","Mayotte",22843.32
"148","Martinique",16300.48
"149","Aruba",55101.81
"150","Iceland",17193.03
"151","Djibouti",5936.23
"152","Equatorial Guinea",3769.82
"153","Central African Republic",1028.83
"154","Nicaragua",734.69
"155","Somalia",297.36
"156","Curaçao",26844.53
"157","Togo",464.44
"158","Gambia",1589.38
"159","South Sudan",321.97
"160","Niger",137.24
"161","Benin",272.54
"162","Gibraltar",86907.48
"163","Jersey",26727.94
"164","Sierra Leone",348.75
"165","San Marino",77435.32
"166","Lesotho",1202.94
"167","Guinea-Bissau",1243.39
"168","Chad",147.27
"169","Liechtenstein",62380.37
"170","United States Virgin Islands",20397.41
"171","Yemen",70.68
"172","New Zealand",379.91
"173","Liberia",355.89
"174","Eritrea",438.75
"175","Sint Maarten",35702.63
"176","Viet Nam",15.53
"177","Mongolia",425.53
"178","Sao Tome and Principe",4809.29
"179","Monaco",26526.35
"180","Saint Martin",25918.93
"181","Turks and Caicos Islands",24691.36
"182","Burundi",74.43
"183","Comoros",993.56
"184","Papua New Guinea",90.64
"185","Barbados",2714.22
"186","Bhutan",999.21
"187","Other",NA
"188","Faroe Islands",13179.17
"189","Bermuda",10293.39
"190","Mauritius",423.82
"191","United Republic of Tanzania",8.52
"192","Seychelles",4555.3
"193","Isle of Man",4598.27
"194","Cambodia",23.15
"195","Saint Lucia",2085.75
"196","Cayman Islands",5462.57
"197","Guernsey",4778.78
"198","Bonaire",12144.39
"199","Saint Vincent and the Grenadines",1838.83
"200","Saint Barthélemy",19322.21
"201","Brunei Darussalam",395.45
"202","Antigua and Barbuda",1705.32
"203","Grenada",1164.21
"204","Northern Mariana Islands (Commonwealth of the)",2171.76
"205","British Virgin Islands",3770.22
"206","Dominica",1472.41
"207","Fiji",59.12
"208","Timor-Leste",37.16
"209","Lao People's Democratic Republic",5.64
"210","New Caledonia",140.11
"211","Saint Kitts and Nevis",639.19
"212","Falkland Islands (Malvinas)",8326.16
"213","Greenland",510.82
"214","Holy See",32138.44
"215","Sint Eustatius",6052.88
"216","Solomon Islands",24.75
"217","Saint Pierre and Miquelon",2761
"218","Anguilla",999.87
"219","Montserrat",2600.52
"220","Saba",2586.65
"221","Marshall Islands",67.57
"222","Wallis and Futuna",355.68
"223","Vanuatu",3.26
"224","American Samoa",0
"225","Cook Islands",0
"226","Democratic People's Republic of Korea",0
"227","Kiribati",0
"228","Micronesia (Federated States of)",0
"229","Nauru",0
"230","Niue",0
"231","Palau",0
"232","Pitcairn Islands",0
"233","Saint Helena",0
"234","Samoa",0
"235","Tokelau",0
"236","Tonga",0
"237","Turkmenistan",0
"238","Tuvalu",0
